item_id,name,stock_count
AR2FSMB6N9KCP,Jambar Org. Chocolate Cha Cha 2.12 Oz,-9.0
AWZZ60KCMH9RG,Tropicana Pure Premium Some Pulp Homestyle Orange Juice - 46 Fl Oz ,-28.0
3JND7QCYN91QJ,A&E Provolone Cheese Thin Sliced 7 oz,-8.0
1V9XJPKCPWFHP,Aslin No Backsies,-19.0
8Q31KH2MYJ6ZE,PF Puff Pastry Sheets,-6.0
31DTPZN9G74FJ,Lucky Aloe Vera Handsoap 13.5 Fl Oz,-2.0
GCH05ZDVX2ZN0,Mango,-15.0
R01WV4N8166QM,Libby's Pumpkin 15 oz,-9.0
F8N8GBVAETMY6,Ziploc Freezer Gallon 20,-21.0
XM7G7PNM55AD2,Lacolombe Oatmilk Vanilla 11 oz,-19.0
XDJXHEGX5WK4T,A&E Mozzarella Thin Sliced 7 Oz,-3.0
XNGYRR2WX778Y,Tropicana 100% Juice Apple Orchard Style 12 Fl Oz,-68.0
PNETQX55KB9Z8,Moshi Yuzu White Peach,-10.0
TMKEDHXMJN37Y,Busseto Salami & Provolone Cheese 3 Oz,-19.0
SP1YZJHMYXTEC,Calypso Trop. Mango Lemonade 16 Fl Oz,-14.0
6CKS59GR1WV5P,Bragg Apple Cider Vinegar,-8.0
9HJG5J7ZKR0WR,SP Lemon Custard,-5.0
WRA7WHBDFGWHE,Esti Everything Bagel Dip,-13.0
NET945K3HCQ76,Buldak Spicy Chicken 2.47 Oz,-13.0
560WNHZAXTQC2,Nature's Nectar 100% Juice Blend Cranberry,-7.0
59B7JG2MW8G1M,Sofresco Mango Banana,-4.0
03RV7AFPGG6ET,Mott's 100% Apple Juice,-22.0
3XSY9H9AERA46,Tropicana 100% Grape Juice 12 Fl Oz Bottle,-14.0
940RCV0YSYGT4,Tropicana Cranberry 11 Fl Oz,-58.0
PFJXQV8E1BPE8,Ziploc Storage Quart 25,-11.0
CB97A6HNHXBS0,Michel & Augustine Dark Chocolate,-9.0
25TMGMSQH5YPE,Troegs Graffiti Highway,-19.0
FVRGG8S0XPXDY,Tropicana Grape 11 Fl Oz,-13.0
2KQPKVG7BY18A,Mahatma Basmati,-5.0
